timestamp,movimento
1745806637.910122,cima
1745806644.73993,baixo
1745806644.9868762,esquerda
1745806645.6545975,direita
1745806648.0756216,cima
1745806653.6937408,direita
1745806654.7989807,esquerda
1745806655.718517,direita
1745806655.8267019,cima
1745806655.9998899,direita
1745806656.2402575,cima
1745807280.8840134,baixo
1745807292.6765532,esquerda
1745807293.65771,cima
1745807294.4106896,direita
1745807295.267004,cima
1745807295.9094696,baixo
1745807300.3467093,esquerda
1745807302.0905797,direita
1745807303.5572448,baixo
1745807304.9990697,cima
1745807306.1650903,baixo
1745807309.5891826,cima
1745807310.4525394,direita
1745807311.463725,esquerda
1745807312.34059,baixo
1745807326.0795994,direita
1745807326.7401993,baixo
1745807328.2261007,cima
1745807328.4897542,direita
1745807353.0937126,cima
1745807356.5972006,direita
1745807356.8561544,baixo
1745807370.8246515,cima
1745807371.9340343,esquerda
1745807372.3843083,cima
1745807372.8776448,direita
1745807389.2349825,esquerda
1745807389.6360803,cima
1745807390.039507,esquerda
1745807412.8810391,direita
1745807501.6751134,esquerda
1745807501.7638416,cima
1745807505.5591908,baixo
1745807526.9790766,direita
1745807527.0732436,baixo
1745807527.4887414,esquerda
1745807527.780385,baixo
1745807595.367012,direita
1745807659.1182542,esquerda
1745807659.686193,cima
1745807659.8730032,esquerda
1745807659.9625914,cima
1745807660.1571589,baixo
1745807660.8420062,direita
1745807662.3054705,baixo
1745807666.306813,cima
1745807669.5863266,baixo
1745807672.338267,cima
1745807679.1024623,esquerda
1745807680.2692635,direita
1745807681.926351,esquerda
1745807682.536575,baixo
1745807683.5939505,cima
1745807683.6895094,esquerda
1745807683.9042678,direita
1745807691.551572,esquerda
1745807691.729036,cima
1745807693.4607873,esquerda
1745807710.830741,direita
1745807725.321425,esquerda
1745807728.242757,baixo
1745807733.6579764,cima
1745807734.9924054,direita
1745807751.890304,cima
1745807751.9681702,esquerda
1745807802.5347407,direita
1745807802.719084,esquerda
1745807803.847753,baixo
1745807852.2949302,direita
1745807852.3872566,esquerda
1745807854.965524,direita
1745807855.2654214,esquerda
1745807857.171444,direita
1745807858.82922,esquerda
1745807874.5529597,direita
1745807877.0887644,esquerda
1745807878.465583,cima
1745807880.1547084,esquerda
1745807880.7372758,direita
1745807881.4004543,cima
1745808747.2677956,cima
1745808748.8489313,baixo
1745808751.0517097,cima
1745808752.5024486,esquerda
1745808753.0341644,baixo
1745808756.3205109,direita
1745808756.6309173,baixo
1745808757.2122307,esquerda
1745809260.6478329,baixo
1745809261.2142806,cima
1745809262.2076116,baixo
1745809263.798311,esquerda
1745810082.840036,cima
1745810083.5845597,baixo
1745810084.0035849,esquerda
1745810166.9181707,direita
1745810167.455945,cima
1745810244.5403953,esquerda
1745810245.612493,baixo
1745810282.7039492,direita
1745810363.717859,esquerda
1745810365.997696,direita
1745810368.236746,esquerda
1745810368.3260212,direita
1745810368.4805741,baixo
1745810369.1140037,cima
1745810381.8052306,esquerda
1745810428.465444,cima
1745810434.0803044,baixo
1745810437.8390799,cima
1745810439.6246674,baixo
1745810439.870666,cima
1745810443.3068326,direita
1745810451.5132906,esquerda
1745810472.1217365,direita
1745811582.5816326,cima
1745811584.6858797,baixo
1745811586.0564597,cima
1745811587.3316855,baixo
1745811588.4006815,cima
1745811590.190719,baixo
1745811596.3110518,esquerda
1745811598.8675706,cima
1745811608.872158,baixo
1745811609.2326865,direita
1745811609.4931164,esquerda
1745811616.5700572,baixo
1745811639.9468343,esquerda
1745811640.0087242,cima
1745811640.865678,esquerda
1745811644.5609837,direita
1745811645.6783605,esquerda
1745811645.7563348,direita
1745811658.9788294,esquerda
1745811669.802124,direita
1745811670.7737641,cima
1745811670.9411678,esquerda
1745811672.3538308,cima
1745811675.6200876,direita
1745811680.1292284,esquerda
1745811683.283616,baixo
1745811712.2162852,direita
1745811771.4029562,esquerda
1745811772.032679,direita
1745811772.8060644,esquerda
1745811775.1583354,direita
1745811775.609203,cima
1745811840.842417,esquerda
1745811840.9331207,cima
1745811901.1503534,direita
1745811902.6161532,esquerda
1745811903.471781,baixo
1745811903.8426592,direita
1745812237.8342772,cima
1745812239.094442,esquerda
1745812239.827425,direita
1745812243.2204516,esquerda
1745812247.447086,direita
1745812247.6158628,cima
1745812249.4386637,baixo
1745812253.7248583,cima
1745812254.9369204,baixo
1745812258.1066563,cima
1745812259.3879204,baixo
1745812259.9955812,cima
1745812260.3327086,direita
1745812263.6442018,baixo
1745812268.255986,direita
